Metabolite abbreviation,Kegg ID,Kegg ID_1,EHMN ID
asn_L[l],C00152,[],[]
asn_L[m],C00152,[],[]
Asn_X_Ser_Thr[l],[],[],[]
Asn_X_Ser_Thr[r],[],[],[]
asp_D[c],C00402,[],[]
asp_D[e],C00402,[],[]
asp_D[x],C00402,[],[]
asp_L[c],C00049,D00013,[]
asp_L[e],C00049,D00013,[]
asp_L[l],C00049,D00013,[]
asp_L[m],C00049,D00013,[]
atp[c],C00002,C00186;D08646,[]
atp[e],C00002,C00186;D08646,C00002
atp[g],C00002,C00186;D08646,C00002
atp[l],C00002,C00186;D08646,C00002
atp[m],C00002,C00186;D08646,C00002
atp[n],C00002,C00186;D08646,C00002
atp[r],C00002,C00186;D08646,C00002
atp[x],C00002,C00186;D08646,C00002
