compoundExRef_id,compoundExRef_idtype,compoundExRef_idvalue,compound_id,compoundExRef_primary
11065,KEGG,D07749,2344,0
11066,PubChem,222786,2344,1
11067,EHMN,C00762,2344,1
11068,HMDB,HMDB02802,2344,1
11069,LMSD,LMST02030090,2344,1
11070,InChi Key,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,2344,1
11071,CheBI,57355,2345,1
11072,KEGG,C00223,2345,1
11073,PubChem,147899,2345,1
11074,InChi Key,DMZOKBALNZWDKI-FUEUKBNZSA-N,2345,1
11075,CheBI,28794,2346,1
11076,KEGG,C05851,2346,1
11077,KEGG,D07751,2346,0
11078,PubChem,323,2346,1
11079,HMDB,HMDB01218,2346,1
11080,InChi Key,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,2346,1
11081,CheBI,28794,2347,1
11082,KEGG,C05851,2347,1
11083,KEGG,D07751,2347,0
11084,PubChem,323,2347,1
11085,HMDB,HMDB01218,2347,1
11086,InChi Key,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,2347,1
11087,CheBI,28607,2348,1
11088,KEGG,C05768,2348,1
11089,PubChem,440776,2348,1
11090,EHMN,C05768,2348,1
11091,HMDB,HMDB02158,2348,1
11092,InChi Key,WIUGGJKHYQIGNH-UHFFFAOYSA-N,2348,1
11093,CheBI,15439,2349,1
11094,CheBI,57309,2349,0
11095,KEGG,C03263,2349,1
11096,PubChem,321,2349,1
11097,PubChem,20849114,2349,0
11098,HepatoNet,HC01085,2349,1
11099,EHMN,C03263,2349,1
11100,HMDB,HMDB01261,2349,1
11101,InChi Key,NIUVHXTXUXOFEB-UHFFFAOYSA-N,2349,1
11102,CheBI,16919,2350,1
11103,CheBI,57947,2350,0
11104,KEGG,C00300,2350,1
11105,PubChem,586,2350,1
11106,PubChem,7058172,2350,0
11107,HepatoNet,HC00260,2350,1
11108,EHMN,C00300,2350,1
11109,HMDB,HMDB00064,2350,1
11110,InChi Key,CVSVTCORWBXHQV-UHFFFAOYSA-N,2350,1
11111,CheBI,16919,2351,1
11112,CheBI,57947,2351,0
11113,KEGG,C00300,2351,1
11114,PubChem,586,2351,1
11115,PubChem,7058172,2351,0
11116,HepatoNet,HC00260,2351,1
11117,EHMN,C00300,2351,1
11118,HMDB,HMDB00064,2351,1
11119,InChi Key,CVSVTCORWBXHQV-UHFFFAOYSA-N,2351,1
11120,CheBI,16919,2352,1
11121,CheBI,57947,2352,0
11122,KEGG,C00300,2352,1
11123,PubChem,586,2352,1
11124,PubChem,7058172,2352,0
11125,HepatoNet,HC00260,2352,1
11126,EHMN,C00300,2352,1
11127,HMDB,HMDB00064,2352,1
11128,InChi Key,CVSVTCORWBXHQV-UHFFFAOYSA-N,2352,1
11129,CheBI,52639,2353,1
11130,KEGG,C00195,2353,1
11131,HepatoNet,HC01990,2353,1
11132,EHMN,C00195,2353,1
11133,CheBI,52639,2354,1
11134,KEGG,C00195,2354,1
11135,HepatoNet,HC01990,2354,1
11136,EHMN,C00195,2354,1
11137,CheBI,52639,2355,1
11138,KEGG,C00195,2355,1
11139,HepatoNet,HC01990,2355,1
11140,EHMN,C00195,2355,1
11141,CheBI,52639,2356,1
11142,KEGG,C00195,2356,1
